idx,id,v1,delta_x,delta_v,a1
6388,19,6.629144966,16.02901342,-0.477027107,-0.395363848
6389,19,6.539036005,15.99920905,-0.298051504,-0.901074007
6390,19,6.397246541,15.99569875,-0.035107391,-1.417878038
6391,19,6.205300477,16.02782982,0.32130728,-1.919468938
6392,19,5.969991221,16.10406424,0.762304198,-2.353105962
6393,19,5.7085898,16.22950529,1.254386139,-2.614021311
6394,19,5.458962121,16.40322379,1.737196693,-2.49623629
6395,19,5.276176827,16.61655243,2.133300798,-1.827858537
6396,19,5.191800202,16.85544816,2.388958962,-0.843776756
6397,19,5.187976834,17.10567628,2.502336311,-0.038237073
6398,19,5.225205242,17.3559902,2.503155599,0.372267472
6399,19,5.268407823,17.5990318,2.430364017,0.432045814
6400,19,5.29183685,17.83074061,2.317154243,0.234298571
6401,19,5.284022614,18.04842054,2.176792957,-0.078132868
6402,19,5.252238962,18.24889417,2.004673113,-0.317835507
6403,19,5.219782913,18.42773411,1.788421075,-0.324577603
6404,19,5.212832013,18.57984783,1.521157741,-0.069478492
6405,19,5.24404106,18.70125455,1.214080571,0.31206317
6406,19,5.305403738,18.79083899,0.895855386,0.613595779
6407,19,5.376031106,18.85058035,0.597355861,0.706295874
6408,19,5.437907185,18.88437976,0.337990383,0.618751295
6409,19,5.487290143,18.89694149,0.125697748,0.493816881
6410,19,5.533807287,18.89301616,-0.039273435,0.465209235
6411,19,5.588578047,18.87675015,-0.162731604,0.547726407
6412,19,5.651296325,18.85183805,-0.249097147,0.627168378
6413,19,5.707670887,18.82245757,-0.293817688,0.563724425
6414,19,5.740129992,18.79361147,-0.288478566,0.324544446
6415,19,5.742283745,18.77025324,-0.233502376,0.021566526
6416,19,5.723899992,18.75592842,-0.143242211,-0.183790429
6417,19,5.702965335,18.7520738,-0.038601678,-0.209358765
6418,19,5.693175729,18.75856132,0.064916908,-0.097888266
6419,19,5.696513886,18.77497595,0.1641868,0.033374275
6420,19,5.703883641,18.80172628,0.267486048,0.073659245
6421,19,5.700728095,18.84059381,0.388665954,-0.03156766
6422,19,5.673763834,18.89460895,0.540174653,-0.269650405
6423,19,5.617132519,18.96727644,0.726648229,-0.566313657
6424,19,5.53636918,19.06133578,0.940572234,-0.807626784
6425,19,5.44755282,19.17760048,1.162619889,-0.888181897
6426,19,5.370374551,19.31438523,1.367864087,-0.771782698
6427,19,5.318427564,19.46784326,1.534548606,-0.519450374
6428,19,5.294627602,19.63263616,1.647929712,-0.237965217
6429,19,5.296281827,19.80219364,1.695611913,0.016536658
6430,19,5.323017834,19.96856201,1.663696588,0.267361261
6431,19,5.376812887,20.12318641,1.546246072,0.537969335
6432,19,5.453868985,20.25945535,1.362631741,0.770527083
6433,19,5.539552693,20.37540646,1.15953553,0.856824373
6434,19,5.613139235,20.47442289,0.990179864,0.735899324
6435,19,5.656009151,20.56369944,0.892805454,0.42869237
6436,19,5.656835001,20.65206918,0.883714018,0.008225288
